id,grado,nivel,scores,tiempo,resultado,juego
56741,2,1,18,46,NO APRENDIO,1
56742,6,1,4,25,NO APRENDIO,1
56743,4,3,8,5,APRENDIO,1
56744,2,2,20,15,APRENDIO,1
56745,6,2,8,18,APRENDIO,1
56746,5,1,30,17,NO APRENDIO,1
56747,3,1,26,23,NO APRENDIO,1
56748,5,3,28,38,NO APRENDIO,1
56749,2,3,30,12,NO APRENDIO,1
56750,1,2,12,47,NO APRENDIO,1
56751,5,3,14,22,APRENDIO,1
56752,2,1,11,11,APRENDIO,1
56753,4,1,10,36,NO APRENDIO,1
56754,3,3,18,3,APRENDIO,1
56755,1,3,20,42,NO APRENDIO,1
56756,1,1,17,23,NO APRENDIO,1
56757,1,2,24,40,NO APRENDIO,1
56758,2,1,14,31,NO APRENDIO,1
56759,4,3,19,25,APRENDIO,1
56760,4,2,13,24,APRENDIO,1
56761,2,3,15,25,APRENDIO,1
56762,2,2,17,28,NO APRENDIO,1
56763,1,2,10,27,NO APRENDIO,1
56764,3,3,23,41,NO APRENDIO,1
56765,6,2,18,28,NO APRENDIO,1
56766,6,3,28,28,NO APRENDIO,1
56767,3,2,10,20,APRENDIO,1
56768,1,3,27,17,NO APRENDIO,1
56769,4,3,7,40,NO APRENDIO,1
56770,4,1,13,24,NO APRENDIO,1
56771,2,2,3,21,APRENDIO,1
56772,2,2,6,12,APRENDIO,1
56773,6,3,19,34,APRENDIO,1
56774,6,1,9,7,APRENDIO,1
56775,6,2,23,41,NO APRENDIO,1
56776,1,3,3,39,NO APRENDIO,1
56777,3,2,14,2,APRENDIO,1
56778,6,1,4,26,NO APRENDIO,1
56779,2,3,20,16,APRENDIO,1
56780,3,2,15,8,APRENDIO,1
56781,6,3,1,29,APRENDIO,1
56782,1,1,18,38,NO APRENDIO,1
56783,1,1,6,31,NO APRENDIO,1
56784,1,1,6,16,NO APRENDIO,1
56785,4,2,21,15,APRENDIO,1
56786,5,3,12,35,APRENDIO,1
56787,2,3,5,30,APRENDIO,1
56788,6,2,16,37,NO APRENDIO,1
56789,6,3,21,34,APRENDIO,1
56790,1,3,9,16,APRENDIO,1
56791,4,1,6,21,NO APRENDIO,1
56792,6,3,14,5,APRENDIO,1
56793,3,2,17,29,NO APRENDIO,1
56794,4,2,11,25,APRENDIO,1
56795,6,2,2,45,NO APRENDIO,1
56796,3,2,12,39,NO APRENDIO,1
56797,5,1,26,45,NO APRENDIO,1
56798,2,1,30,8,NO APRENDIO,1
56799,6,3,1,21,APRENDIO,1
56800,5,3,1,28,APRENDIO,1
56801,4,2,10,39,NO APRENDIO,1
56802,6,2,14,38,NO APRENDIO,1
56803,5,3,13,46,NO APRENDIO,1
56804,6,2,9,37,NO APRENDIO,1
56805,3,3,20,12,APRENDIO,1
56806,2,3,5,7,APRENDIO,1
56807,1,2,7,33,NO APRENDIO,1
56808,6,1,17,45,NO APRENDIO,1
56809,1,2,8,19,APRENDIO,1
56810,5,2,3,45,NO APRENDIO,1
56811,3,1,15,42,NO APRENDIO,1
56812,1,2,3,24,APRENDIO,1
56813,4,2,30,13,NO APRENDIO,1
56814,3,1,13,15,NO APRENDIO,1
56815,2,2,18,23,APRENDIO,1
56816,6,3,18,33,APRENDIO,1
56817,4,1,16,38,NO APRENDIO,1
56818,3,3,18,15,APRENDIO,1
56819,6,3,27,7,NO APRENDIO,1
56820,1,2,19,2,APRENDIO,1
56821,4,2,1,16,APRENDIO,1
56822,1,2,7,29,NO APRENDIO,1
56823,4,2,5,29,NO APRENDIO,1
56824,5,2,12,11,APRENDIO,1
56825,1,3,29,33,NO APRENDIO,1
56826,3,2,12,13,APRENDIO,1
56827,5,3,6,19,APRENDIO,1
56828,2,1,20,39,NO APRENDIO,1
56829,1,1,28,44,NO APRENDIO,1
56830,6,3,16,19,APRENDIO,1
56831,4,2,28,9,APRENDIO,1
56832,1,3,7,47,NO APRENDIO,1
56833,5,2,9,20,APRENDIO,1
56834,3,1,30,50,NO APRENDIO,1
56835,1,2,12,7,APRENDIO,1
56836,3,3,23,27,NO APRENDIO,1
56837,5,1,10,36,NO APRENDIO,1
56838,5,2,29,15,NO APRENDIO,1
56839,6,2,1,2,APRENDIO,1
56840,4,3,3,25,APRENDIO,1
56841,1,1,12,29,NO APRENDIO,1
56842,1,1,27,11,NO APRENDIO,1
56843,6,2,30,33,NO APRENDIO,1
56844,6,2,2,50,NO APRENDIO,1
56845,1,1,13,31,NO APRENDIO,1
56846,4,1,28,29,NO APRENDIO,1
56847,3,2,8,23,APRENDIO,1
56848,4,1,19,27,NO APRENDIO,1
56849,5,3,25,5,NO APRENDIO,1
56850,5,1,20,32,NO APRENDIO,1
56851,2,2,8,35,NO APRENDIO,1
56852,2,3,23,16,NO APRENDIO,1
56853,6,1,20,19,NO APRENDIO,1
56854,1,3,28,15,NO APRENDIO,1
56855,3,1,3,29,NO APRENDIO,1
56856,4,2,3,8,APRENDIO,1
56857,4,3,8,32,APRENDIO,1
56858,4,3,7,21,APRENDIO,1
56859,4,1,20,24,NO APRENDIO,1
56860,5,1,19,6,NO APRENDIO,1
56861,5,1,4,34,NO APRENDIO,1
56862,3,1,29,32,NO APRENDIO,1
56863,1,2,1,30,NO APRENDIO,1
56864,3,2,27,17,APRENDIO,1
56865,6,2,22,7,APRENDIO,1
56866,4,3,9,11,APRENDIO,1
56867,2,3,2,49,NO APRENDIO,1
56868,6,1,12,28,NO APRENDIO,1
56869,6,2,21,10,APRENDIO,1
56870,2,1,25,19,NO APRENDIO,1
56871,2,3,23,14,NO APRENDIO,1
56872,3,3,12,9,APRENDIO,1
56873,4,3,13,5,APRENDIO,1
56874,6,1,2,27,NO APRENDIO,1
56875,1,1,25,14,NO APRENDIO,1
56876,6,3,11,10,APRENDIO,1
56877,6,2,11,45,NO APRENDIO,1
56878,3,2,10,1,APRENDIO,1
56879,6,2,19,10,APRENDIO,1
56880,2,3,8,34,APRENDIO,1
56881,4,2,17,20,APRENDIO,1
56882,3,3,8,34,APRENDIO,1
56883,3,3,1,22,APRENDIO,1
56884,1,1,4,39,NO APRENDIO,1
56885,3,2,8,48,NO APRENDIO,1
56886,1,2,30,29,NO APRENDIO,1
56887,6,3,29,9,NO APRENDIO,1
56888,3,2,10,26,NO APRENDIO,1
56889,6,1,10,22,NO APRENDIO,1
56890,1,2,20,13,APRENDIO,1
56891,6,3,27,5,NO APRENDIO,1
56892,5,1,20,48,NO APRENDIO,1
56893,5,2,27,5,APRENDIO,1
56894,4,2,22,28,NO APRENDIO,1
56895,5,1,4,26,NO APRENDIO,1
56896,1,1,4,34,NO APRENDIO,1
56897,1,2,26,39,NO APRENDIO,1
56898,5,3,20,17,APRENDIO,1
56899,1,1,2,2,APRENDIO,1
56900,6,1,21,14,NO APRENDIO,1
56901,5,1,10,6,APRENDIO,1
56902,6,1,13,20,NO APRENDIO,1
56903,5,2,17,20,APRENDIO,1
56904,3,2,19,4,APRENDIO,1
56905,1,1,8,36,NO APRENDIO,1
56906,3,2,1,2,APRENDIO,1
56907,1,2,23,10,APRENDIO,1
56908,3,2,10,26,NO APRENDIO,1
56909,1,3,23,41,NO APRENDIO,1
56910,6,3,3,13,APRENDIO,1
56911,3,1,10,2,APRENDIO,1
56912,3,3,20,5,APRENDIO,1
56913,5,2,6,15,APRENDIO,1
56914,3,2,30,27,NO APRENDIO,1
56915,2,2,22,39,NO APRENDIO,1
56916,1,1,10,18,NO APRENDIO,1
56917,1,2,12,38,NO APRENDIO,1
56918,6,3,20,8,APRENDIO,1
56919,3,3,5,43,NO APRENDIO,1
56920,4,3,22,45,NO APRENDIO,1
56921,4,1,11,32,NO APRENDIO,1
56922,6,2,4,30,NO APRENDIO,1
56923,6,1,18,41,NO APRENDIO,1
56924,3,2,11,5,APRENDIO,1
56925,1,3,7,10,APRENDIO,1
56926,3,1,25,28,NO APRENDIO,1
56927,1,3,1,30,APRENDIO,1
56928,4,3,1,27,APRENDIO,1
56929,1,3,9,20,APRENDIO,1
56930,4,2,1,1,APRENDIO,1
56931,1,3,29,33,NO APRENDIO,1
56932,2,2,20,24,APRENDIO,1
56933,4,3,24,28,NO APRENDIO,1
56934,3,3,21,11,APRENDIO,1
56935,1,2,18,11,APRENDIO,1
56936,6,1,3,6,APRENDIO,1
56937,1,3,28,27,NO APRENDIO,1
56938,5,3,10,39,NO APRENDIO,1
56939,4,1,11,29,NO APRENDIO,1
56940,5,2,6,4,APRENDIO,1
56941,5,3,26,19,NO APRENDIO,1
56942,3,3,7,41,NO APRENDIO,1
56943,4,3,10,35,APRENDIO,1
56944,5,1,13,38,NO APRENDIO,1
56945,1,3,16,13,APRENDIO,1
56946,5,1,18,22,NO APRENDIO,1
56947,1,2,4,18,APRENDIO,1
56948,3,2,24,14,APRENDIO,1
56949,1,2,18,4,APRENDIO,1
56950,6,1,19,42,NO APRENDIO,1
56951,4,3,23,38,NO APRENDIO,1
56952,3,2,3,29,NO APRENDIO,1
56953,5,1,6,16,NO APRENDIO,1
56954,5,1,21,22,NO APRENDIO,1
56955,5,2,2,12,APRENDIO,1
56956,3,2,27,32,NO APRENDIO,1
56957,3,2,19,24,APRENDIO,1
56958,6,1,5,22,NO APRENDIO,1
56959,3,1,18,38,NO APRENDIO,1
56960,2,1,27,25,NO APRENDIO,1
56961,6,1,19,1,NO APRENDIO,1
56962,1,3,21,25,APRENDIO,1
56963,4,3,7,41,NO APRENDIO,1
56964,5,3,25,4,NO APRENDIO,1
56965,1,3,30,1,NO APRENDIO,1
56966,5,2,16,15,APRENDIO,1
56967,5,3,18,30,APRENDIO,1
56968,2,1,13,18,NO APRENDIO,1
56969,1,3,23,31,NO APRENDIO,1
56970,2,2,30,3,NO APRENDIO,1
56971,3,1,12,32,NO APRENDIO,1
56972,2,2,25,32,NO APRENDIO,1
56973,4,3,27,46,NO APRENDIO,1
56974,2,1,22,10,NO APRENDIO,1
56975,6,1,20,41,NO APRENDIO,1
56976,3,2,4,16,APRENDIO,1
56977,2,1,5,42,NO APRENDIO,1
56978,1,3,10,17,APRENDIO,1
56979,1,2,13,39,NO APRENDIO,1
56980,3,1,20,5,NO APRENDIO,1
56981,4,3,12,7,APRENDIO,1
56982,1,2,2,19,APRENDIO,1
56983,1,1,28,12,NO APRENDIO,1
56984,5,1,1,42,NO APRENDIO,1
56985,2,3,16,33,APRENDIO,1
56986,4,3,13,10,APRENDIO,1
56987,4,3,21,37,NO APRENDIO,1
56988,3,2,27,46,NO APRENDIO,1
56989,3,2,5,39,NO APRENDIO,1
56990,2,1,10,44,NO APRENDIO,1
56991,5,3,11,44,NO APRENDIO,1
56992,4,1,26,22,NO APRENDIO,1
56993,1,1,13,31,NO APRENDIO,1
56994,3,2,5,10,APRENDIO,1
56995,5,3,21,4,APRENDIO,1
56996,6,1,17,11,NO APRENDIO,1
56997,6,1,29,3,NO APRENDIO,1
56998,4,1,30,21,NO APRENDIO,1
56999,2,1,18,50,NO APRENDIO,1
57000,1,1,29,46,NO APRENDIO,1
57001,1,3,6,37,NO APRENDIO,1
57002,4,1,11,21,NO APRENDIO,1
57003,1,3,7,21,APRENDIO,1
57004,2,2,20,21,APRENDIO,1
57005,2,1,26,2,NO APRENDIO,1
57006,6,2,9,16,APRENDIO,1
57007,6,2,8,37,NO APRENDIO,1
57008,6,1,19,23,NO APRENDIO,1
57009,4,2,16,2,APRENDIO,1
57010,5,2,27,39,NO APRENDIO,1
57011,2,1,14,44,NO APRENDIO,1
57012,1,1,2,36,NO APRENDIO,1
57013,2,1,15,21,NO APRENDIO,1
57014,5,3,12,29,APRENDIO,1
57015,3,3,10,23,APRENDIO,1
57016,2,2,5,50,NO APRENDIO,1
57017,6,2,24,10,APRENDIO,1
57018,2,3,7,37,NO APRENDIO,1
57019,3,2,5,17,APRENDIO,1
57020,4,2,7,12,APRENDIO,1
57021,2,1,11,36,NO APRENDIO,1
57022,1,1,20,42,NO APRENDIO,1
57023,5,1,28,4,NO APRENDIO,1
57024,4,1,28,20,NO APRENDIO,1
57025,6,1,2,18,NO APRENDIO,1
57026,2,3,18,10,APRENDIO,1
57027,6,1,2,27,NO APRENDIO,1
57028,6,1,8,48,NO APRENDIO,1
57029,3,1,13,29,NO APRENDIO,1
57030,3,2,2,30,NO APRENDIO,1
57031,5,3,26,16,NO APRENDIO,1
57032,3,1,8,2,APRENDIO,1
57033,6,1,21,47,NO APRENDIO,1
57034,4,3,21,48,NO APRENDIO,1
57035,3,1,12,43,NO APRENDIO,1
57036,5,3,16,16,APRENDIO,1
57037,3,2,11,14,APRENDIO,1
57038,5,1,10,43,NO APRENDIO,1
57039,3,1,23,21,NO APRENDIO,1
57040,3,2,5,16,APRENDIO,1
57041,4,1,29,27,NO APRENDIO,1
57042,1,3,13,43,NO APRENDIO,1
57043,1,2,1,33,NO APRENDIO,1
57044,3,2,23,32,NO APRENDIO,1
57045,2,1,14,21,NO APRENDIO,1
57046,2,3,6,5,APRENDIO,1
57047,6,3,8,38,NO APRENDIO,1
57048,5,3,15,25,APRENDIO,1
57049,6,3,6,32,APRENDIO,1
57050,2,2,13,21,APRENDIO,1
57051,1,1,21,40,NO APRENDIO,1
57052,3,2,12,50,NO APRENDIO,1
57053,6,2,30,36,NO APRENDIO,1
57054,4,2,4,18,APRENDIO,1
57055,5,3,11,19,APRENDIO,1
57056,1,3,2,5,APRENDIO,1
57057,1,1,3,24,NO APRENDIO,1
57058,2,2,23,34,NO APRENDIO,1
57059,4,1,26,3,NO APRENDIO,1
57060,2,2,20,47,NO APRENDIO,1
57061,6,2,9,29,NO APRENDIO,1
57062,2,1,30,21,NO APRENDIO,1
57063,1,2,18,31,NO APRENDIO,1
57064,1,3,28,48,NO APRENDIO,1
57065,4,2,27,41,NO APRENDIO,1
57066,1,2,30,15,NO APRENDIO,1
57067,4,1,13,20,NO APRENDIO,1
57068,2,2,27,46,NO APRENDIO,1
57069,3,1,22,24,NO APRENDIO,1
57070,2,2,6,15,APRENDIO,1
57071,5,2,10,47,NO APRENDIO,1
57072,5,2,30,30,NO APRENDIO,1
57073,1,3,24,10,NO APRENDIO,1
57074,5,2,19,20,APRENDIO,1
57075,5,1,4,46,NO APRENDIO,1
57076,3,3,8,15,APRENDIO,1
57077,1,2,23,28,NO APRENDIO,1
57078,2,2,23,37,NO APRENDIO,1
57079,6,2,25,47,NO APRENDIO,1
57080,3,1,2,15,APRENDIO,1
57081,6,2,16,50,NO APRENDIO,1
57082,1,1,30,3,NO APRENDIO,1
57083,6,3,19,28,APRENDIO,1
57084,1,3,23,1,NO APRENDIO,1
57085,4,2,20,27,NO APRENDIO,1
57086,3,1,18,12,NO APRENDIO,1
57087,2,1,3,29,NO APRENDIO,1
57088,1,3,22,12,APRENDIO,1
57089,6,2,4,29,NO APRENDIO,1
57090,3,2,6,15,APRENDIO,1
57091,2,2,2,27,NO APRENDIO,1
57092,5,3,19,24,APRENDIO,1
57093,4,1,4,44,NO APRENDIO,1
57094,1,1,13,32,NO APRENDIO,1
57095,3,1,14,15,NO APRENDIO,1
57096,5,1,26,41,NO APRENDIO,1
57097,4,2,24,4,APRENDIO,1
57098,3,1,18,8,NO APRENDIO,1
57099,2,1,29,36,NO APRENDIO,1
57100,4,1,13,12,NO APRENDIO,1
57101,2,3,28,10,NO APRENDIO,1
57102,3,1,14,21,NO APRENDIO,1
57103,6,1,25,28,NO APRENDIO,1
57104,3,3,18,18,APRENDIO,1
57105,2,2,24,9,APRENDIO,1
57106,1,2,10,20,APRENDIO,1
57107,5,2,2,42,NO APRENDIO,1
57108,2,1,19,23,NO APRENDIO,1
57109,1,2,20,39,NO APRENDIO,1
57110,6,2,12,39,NO APRENDIO,1
57111,4,2,12,13,APRENDIO,1
57112,6,3,3,48,NO APRENDIO,1
57113,4,1,29,36,NO APRENDIO,1
57114,1,3,14,11,APRENDIO,1
57115,1,2,24,40,NO APRENDIO,1
57116,5,3,28,16,NO APRENDIO,1
57117,2,1,28,36,NO APRENDIO,1
57118,1,2,27,16,APRENDIO,1
57119,3,2,2,47,NO APRENDIO,1
57120,4,2,10,27,NO APRENDIO,1
57121,2,3,17,25,APRENDIO,1
57122,3,3,28,47,NO APRENDIO,1
57123,6,1,22,44,NO APRENDIO,1
57124,5,3,14,21,APRENDIO,1
57125,1,2,5,50,NO APRENDIO,1
57126,1,1,3,42,NO APRENDIO,1
57127,2,3,20,16,APRENDIO,1
57128,3,3,15,46,NO APRENDIO,1
57129,2,3,13,1,APRENDIO,1
57130,5,1,14,42,NO APRENDIO,1
57131,4,3,27,38,NO APRENDIO,1
57132,5,1,4,3,APRENDIO,1
57133,2,1,24,17,NO APRENDIO,1
57134,3,2,25,9,APRENDIO,1
57135,4,1,10,24,NO APRENDIO,1
57136,6,1,26,6,NO APRENDIO,1
57137,4,2,3,20,APRENDIO,1
57138,3,2,20,49,NO APRENDIO,1
57139,2,1,28,25,NO APRENDIO,1
57140,6,2,2,40,NO APRENDIO,1
57141,6,3,18,8,APRENDIO,1
57142,2,1,18,43,NO APRENDIO,1
57143,6,3,23,42,NO APRENDIO,1
57144,5,3,7,49,NO APRENDIO,1
57145,4,2,20,25,APRENDIO,1
57146,3,3,9,31,APRENDIO,1
57147,2,3,7,10,APRENDIO,1
57148,4,2,10,13,APRENDIO,1
57149,3,3,18,40,NO APRENDIO,1
57150,3,2,30,44,NO APRENDIO,1
57151,4,3,23,33,NO APRENDIO,1
57152,3,3,11,27,APRENDIO,1
57153,5,2,16,25,APRENDIO,1
57154,2,1,17,35,NO APRENDIO,1
57155,6,3,23,8,NO APRENDIO,1
57156,5,3,1,5,APRENDIO,1
57157,6,3,12,2,APRENDIO,1
57158,2,2,1,7,APRENDIO,1
57159,3,3,7,4,APRENDIO,1
57160,2,3,9,24,APRENDIO,1
57161,2,2,12,16,APRENDIO,1
57162,4,3,14,14,APRENDIO,1
57163,3,2,22,9,APRENDIO,1
57164,3,3,11,14,APRENDIO,1
57165,3,1,24,39,NO APRENDIO,1
57166,5,3,25,23,NO APRENDIO,1
57167,4,2,23,37,NO APRENDIO,1
57168,3,1,2,16,NO APRENDIO,1
57169,6,1,27,23,NO APRENDIO,1
57170,4,2,25,29,NO APRENDIO,1
57171,6,2,13,27,NO APRENDIO,1
57172,1,2,23,37,NO APRENDIO,1
57173,5,2,28,32,NO APRENDIO,1
57174,2,3,12,17,APRENDIO,1
57175,5,2,21,16,APRENDIO,1
57176,3,1,9,45,NO APRENDIO,1
57177,1,1,4,27,NO APRENDIO,1
57178,6,3,12,28,APRENDIO,1
57179,1,3,28,16,NO APRENDIO,1
57180,3,1,11,25,NO APRENDIO,1
57181,5,1,13,24,NO APRENDIO,1
57182,6,2,24,28,NO APRENDIO,1
57183,3,2,15,15,APRENDIO,1
57184,3,2,18,11,APRENDIO,1
57185,4,1,29,23,NO APRENDIO,1
57186,4,3,25,16,NO APRENDIO,1
57187,5,1,20,9,NO APRENDIO,1
57188,6,3,14,39,NO APRENDIO,1
57189,4,2,11,8,APRENDIO,1
57190,5,1,28,34,NO APRENDIO,1
57191,3,2,21,47,NO APRENDIO,1
57192,2,3,12,46,NO APRENDIO,1
57193,1,1,8,41,NO APRENDIO,1
57194,5,3,9,19,APRENDIO,1
57195,4,3,18,14,APRENDIO,1
57196,2,3,20,38,NO APRENDIO,1
57197,2,2,16,26,NO APRENDIO,1
57198,3,1,22,13,NO APRENDIO,1
57199,3,3,18,34,APRENDIO,1
57200,1,1,6,35,NO APRENDIO,1
57201,4,2,23,8,APRENDIO,1
57202,2,1,7,42,NO APRENDIO,1
57203,5,2,30,35,NO APRENDIO,1
57204,2,2,7,22,APRENDIO,1
57205,1,3,30,24,NO APRENDIO,1
57206,4,2,24,10,APRENDIO,1
57207,3,1,16,45,NO APRENDIO,1
57208,2,2,24,16,APRENDIO,1
57209,6,3,24,45,NO APRENDIO,1
57210,4,3,20,3,APRENDIO,1
57211,5,2,16,36,NO APRENDIO,1
57212,1,2,8,33,NO APRENDIO,1
57213,3,1,25,9,NO APRENDIO,1
57214,3,3,4,21,APRENDIO,1
57215,1,1,20,25,NO APRENDIO,1
57216,2,2,23,26,NO APRENDIO,1
57217,4,1,11,22,NO APRENDIO,1
57218,4,1,22,34,NO APRENDIO,1
57219,2,1,19,25,NO APRENDIO,1
57220,2,1,3,23,NO APRENDIO,1
57221,5,2,30,39,NO APRENDIO,1
57222,3,2,17,38,NO APRENDIO,1
57223,2,1,26,12,NO APRENDIO,1
57224,2,3,6,5,APRENDIO,1
57225,3,1,9,11,APRENDIO,1
57226,6,2,1,31,NO APRENDIO,1
57227,1,3,4,1,APRENDIO,1
57228,2,1,26,9,NO APRENDIO,1
57229,5,2,23,27,NO APRENDIO,1
57230,1,2,16,7,APRENDIO,1
57231,1,3,9,34,APRENDIO,1
57232,2,1,7,29,NO APRENDIO,1
57233,2,1,28,45,NO APRENDIO,1
57234,3,2,18,24,APRENDIO,1
57235,6,2,17,23,APRENDIO,1
57236,5,1,11,49,NO APRENDIO,1
57237,5,3,2,6,APRENDIO,1
57238,3,1,19,45,NO APRENDIO,1
57239,1,1,20,43,NO APRENDIO,1
57240,3,3,12,48,NO APRENDIO,1
57241,1,1,6,8,APRENDIO,1
57242,4,1,28,10,NO APRENDIO,1
57243,1,2,6,49,NO APRENDIO,1
57244,6,2,1,35,NO APRENDIO,1
57245,3,2,1,2,APRENDIO,1
57246,2,3,14,48,NO APRENDIO,1
57247,6,2,14,4,APRENDIO,1
57248,4,3,21,21,APRENDIO,1
57249,1,1,26,29,NO APRENDIO,1
57250,2,2,2,38,NO APRENDIO,1
57251,5,2,11,37,NO APRENDIO,1
57252,3,1,19,17,NO APRENDIO,1
57253,5,3,24,47,NO APRENDIO,1
57254,2,3,8,34,APRENDIO,1
57255,6,2,7,38,NO APRENDIO,1
57256,5,1,23,46,NO APRENDIO,1
57257,2,3,18,9,APRENDIO,1
57258,6,1,18,49,NO APRENDIO,1
57259,5,3,20,12,APRENDIO,1
57260,6,3,20,7,APRENDIO,1
57261,2,2,9,38,NO APRENDIO,1
57262,4,3,27,12,NO APRENDIO,1
57263,1,3,9,6,APRENDIO,1
57264,1,2,18,23,APRENDIO,1
57265,4,2,8,28,NO APRENDIO,1
57266,3,1,26,15,NO APRENDIO,1
57267,5,2,22,12,APRENDIO,1
57268,5,1,21,18,NO APRENDIO,1
57269,5,3,13,35,APRENDIO,1
57270,1,1,25,20,NO APRENDIO,1
57271,4,3,22,42,NO APRENDIO,1
57272,1,2,18,45,NO APRENDIO,1
57273,5,2,12,48,NO APRENDIO,1
57274,6,3,16,38,NO APRENDIO,1
57275,6,3,6,11,APRENDIO,1
57276,2,1,19,47,NO APRENDIO,1
57277,2,3,20,6,APRENDIO,1
57278,1,3,13,46,NO APRENDIO,1
57279,5,3,7,4,APRENDIO,1
57280,5,3,14,24,APRENDIO,1
57281,6,1,2,35,NO APRENDIO,1
57282,6,3,20,39,NO APRENDIO,1
57283,1,2,14,46,NO APRENDIO,1
57284,2,1,27,50,NO APRENDIO,1
57285,5,1,4,31,NO APRENDIO,1
57286,2,1,7,48,NO APRENDIO,1
57287,1,3,20,6,APRENDIO,1
57288,3,3,10,35,APRENDIO,1
57289,1,2,13,42,NO APRENDIO,1
57290,4,2,14,9,APRENDIO,1
57291,3,1,17,9,NO APRENDIO,1
57292,3,3,14,49,NO APRENDIO,1
57293,2,3,7,24,APRENDIO,1
57294,1,3,15,4,APRENDIO,1
57295,3,2,26,16,APRENDIO,1
57296,5,2,9,14,APRENDIO,1
57297,5,3,29,7,NO APRENDIO,1
57298,6,3,12,35,APRENDIO,1
57299,4,3,13,26,APRENDIO,1
57300,5,3,15,10,APRENDIO,1
57301,4,2,6,21,APRENDIO,1
57302,5,1,20,3,NO APRENDIO,1
57303,3,3,28,43,NO APRENDIO,1
57304,4,2,19,19,APRENDIO,1
57305,3,1,13,10,NO APRENDIO,1
57306,3,3,21,25,APRENDIO,1
57307,5,2,3,20,APRENDIO,1
57308,2,2,16,30,NO APRENDIO,1
57309,4,2,30,12,NO APRENDIO,1
57310,1,2,30,23,NO APRENDIO,1
57311,4,1,28,33,NO APRENDIO,1
57312,6,3,10,22,APRENDIO,1
57313,5,2,7,14,APRENDIO,1
57314,2,3,8,28,APRENDIO,1
57315,4,3,14,20,APRENDIO,1
57316,3,3,29,48,NO APRENDIO,1
57317,2,3,9,28,APRENDIO,1
57318,5,2,13,35,NO APRENDIO,1
57319,1,1,5,38,NO APRENDIO,1
57320,6,2,3,41,NO APRENDIO,1
57321,3,2,28,12,APRENDIO,1
57322,2,2,2,30,NO APRENDIO,1
57323,3,1,25,7,NO APRENDIO,1
57324,4,1,7,13,APRENDIO,1
57325,4,2,16,43,NO APRENDIO,1
57326,6,2,8,44,NO APRENDIO,1
57327,3,3,2,4,APRENDIO,1
57328,3,2,7,11,APRENDIO,1
57329,2,3,27,1,NO APRENDIO,1
57330,3,3,19,1,APRENDIO,1
57331,6,3,30,12,NO APRENDIO,1
57332,4,2,9,42,NO APRENDIO,1
57333,4,1,15,49,NO APRENDIO,1
57334,3,3,10,45,NO APRENDIO,1
57335,4,2,23,34,NO APRENDIO,1
57336,1,3,2,21,APRENDIO,1
57337,3,2,6,21,APRENDIO,1
57338,1,1,6,48,NO APRENDIO,1
57339,1,2,19,7,APRENDIO,1
57340,6,1,7,7,APRENDIO,1
57341,3,3,6,23,APRENDIO,1
57342,5,3,13,14,APRENDIO,1
57343,6,3,2,44,NO APRENDIO,1
57344,4,1,25,37,NO APRENDIO,1
57345,5,3,14,34,APRENDIO,1
57346,6,1,9,25,NO APRENDIO,1
57347,4,3,10,38,NO APRENDIO,1
57348,4,3,8,45,NO APRENDIO,1
57349,4,2,4,4,APRENDIO,1
57350,2,3,23,34,NO APRENDIO,1
57351,6,3,14,50,NO APRENDIO,1
57352,2,1,10,47,NO APRENDIO,1
57353,6,3,21,2,APRENDIO,1
57354,1,2,8,30,NO APRENDIO,1
57355,3,1,18,19,NO APRENDIO,1
57356,4,3,20,30,APRENDIO,1
57357,4,2,29,41,NO APRENDIO,1
57358,2,1,2,17,NO APRENDIO,1
57359,3,2,9,21,APRENDIO,1
57360,3,2,30,5,NO APRENDIO,1
57361,3,2,2,12,APRENDIO,1
57362,2,2,28,37,NO APRENDIO,1
57363,3,2,6,46,NO APRENDIO,1
57364,6,1,26,37,NO APRENDIO,1
57365,6,2,28,12,APRENDIO,1
57366,3,1,5,37,NO APRENDIO,1
57367,1,2,6,26,NO APRENDIO,1
57368,3,1,16,34,NO APRENDIO,1
57369,6,2,14,8,APRENDIO,1
57370,6,3,12,6,APRENDIO,1
57371,6,2,8,48,NO APRENDIO,1
57372,5,2,20,27,NO APRENDIO,1
57373,3,2,26,26,NO APRENDIO,1
57374,4,2,26,11,APRENDIO,1
57375,5,2,26,6,APRENDIO,1
57376,2,1,24,14,NO APRENDIO,1
57377,2,1,11,16,NO APRENDIO,1
57378,2,3,25,35,NO APRENDIO,1
57379,4,3,24,19,NO APRENDIO,1
57380,6,2,2,24,APRENDIO,1
57381,4,1,6,20,NO APRENDIO,1
57382,5,2,22,7,APRENDIO,1
57383,5,3,6,46,NO APRENDIO,1
57384,6,3,1,38,NO APRENDIO,1
57385,6,2,9,34,NO APRENDIO,1
57386,1,2,8,15,APRENDIO,1
57387,4,2,11,23,APRENDIO,1
57388,1,3,21,25,APRENDIO,1
57389,2,1,27,13,NO APRENDIO,1
57390,2,2,22,3,APRENDIO,1
57391,3,2,6,4,APRENDIO,1
57392,2,1,23,23,NO APRENDIO,1
57393,4,1,13,22,NO APRENDIO,1
57394,6,2,1,39,NO APRENDIO,1
57395,5,2,13,41,NO APRENDIO,1
57396,3,1,11,37,NO APRENDIO,1
57397,3,3,24,28,NO APRENDIO,1
57398,2,2,19,33,NO APRENDIO,1
