grade,game,level,moves,time,result_test,result_game,time_per_move,move_efficiency
Fifth Grade,Hanoi,3,25,49,Failed,Failed,1.96,2.7777777777777777
Fourth Grade,Hanoi,1,19,46,Failed,Failed,2.4210526315789473,4.75
Third Grade,Hanoi,3,23,46,Failed,Failed,2.0,2.5555555555555554
Second Grade,Hanoi,2,17,20,Failed,Failed,1.1764705882352942,3.4
Third Grade,Hanoi,1,15,38,Failed,Failed,2.533333333333333,3.75
First Grade,Hanoi,1,4,12,Passed,Failed,3.0,1.0
First Grade,Hanoi,2,16,17,Failed,Failed,1.0625,3.2
Third Grade,Hanoi,2,30,42,Failed,Failed,1.4,6.0
Sixth Grade,Hanoi,3,17,40,Failed,Failed,2.3529411764705883,1.8888888888888888
Fourth Grade,Hanoi,1,12,34,Failed,Failed,2.8333333333333335,3.0
Third Grade,Hanoi,1,10,48,Failed,Failed,4.8,2.5
Third Grade,Hanoi,1,15,26,Failed,Failed,1.7333333333333334,3.75
Sixth Grade,Hanoi,3,18,45,Failed,Failed,2.5,2.0
Third Grade,Hanoi,1,19,26,Failed,Failed,1.368421052631579,4.75
Fourth Grade,Hanoi,3,15,24,Failed,Failed,1.6,1.6666666666666667
Second Grade,Hanoi,2,19,38,Failed,Failed,2.0,3.8
Third Grade,Hanoi,2,23,38,Failed,Failed,1.6521739130434783,4.6
Third Grade,Hanoi,3,21,49,Failed,Failed,2.3333333333333335,2.3333333333333335
Fourth Grade,Hanoi,1,11,31,Failed,Failed,2.8181818181818183,2.75
Fifth Grade,Hanoi,2,9,49,Failed,Failed,5.444444444444445,1.8
Fourth Grade,Hanoi,1,18,34,Failed,Failed,1.8888888888888888,4.5
Second Grade,Hanoi,1,28,34,Failed,Failed,1.2142857142857142,7.0
Third Grade,Hanoi,2,9,38,Failed,Failed,4.222222222222222,1.8
Third Grade,Hanoi,2,8,29,Failed,Failed,3.625,1.6
Second Grade,Hanoi,1,16,17,Failed,Failed,1.0625,4.0
First Grade,Hanoi,2,27,48,Failed,Failed,1.7777777777777777,5.4
Sixth Grade,Hanoi,3,24,34,Failed,Failed,1.4166666666666667,2.6666666666666665
Second Grade,Hanoi,1,28,37,Failed,Failed,1.3214285714285714,7.0
First Grade,Hanoi,2,11,13,Failed,Failed,1.1818181818181819,2.2
Sixth Grade,Hanoi,3,16,36,Failed,Failed,2.25,1.7777777777777777
Fifth Grade,Hanoi,3,23,24,Failed,Failed,1.0434782608695652,2.5555555555555554
Fifth Grade,Hanoi,1,6,19,Failed,Failed,3.1666666666666665,1.5
Fourth Grade,Hanoi,2,17,22,Failed,Failed,1.2941176470588236,3.4
Sixth Grade,Hanoi,2,22,46,Failed,Failed,2.090909090909091,4.4
Fifth Grade,Hanoi,1,28,33,Failed,Failed,1.1785714285714286,7.0
Sixth Grade,Hanoi,3,25,49,Failed,Failed,1.96,2.7777777777777777
First Grade,Hanoi,2,26,35,Failed,Failed,1.3461538461538463,5.2
Second Grade,Hanoi,2,11,45,Failed,Failed,4.090909090909091,2.2
Fifth Grade,Hanoi,3,22,46,Failed,Failed,2.090909090909091,2.4444444444444446
Fifth Grade,Hanoi,2,22,45,Failed,Failed,2.0454545454545454,4.4
Sixth Grade,Hanoi,1,3,9,Passed,Failed,3.0,0.75
Second Grade,Hanoi,2,24,37,Failed,Failed,1.5416666666666667,4.8
Fifth Grade,Hanoi,2,22,49,Failed,Failed,2.227272727272727,4.4
Fourth Grade,Hanoi,1,28,32,Failed,Failed,1.1428571428571428,7.0
Fourth Grade,Hanoi,1,7,43,Failed,Failed,6.142857142857143,1.75
Second Grade,Hanoi,3,16,28,Failed,Failed,1.75,1.7777777777777777
Second Grade,Hanoi,1,3,27,Failed,Failed,9.0,0.75
Third Grade,Hanoi,3,23,36,Failed,Failed,1.565217391304348,2.5555555555555554
Sixth Grade,Hanoi,1,9,40,Failed,Failed,4.444444444444445,2.25
Sixth Grade,Hanoi,1,17,46,Failed,Failed,2.7058823529411766,4.25
First Grade,Hanoi,1,5,48,Failed,Failed,9.6,1.25
Sixth Grade,Hanoi,2,26,40,Failed,Failed,1.5384615384615385,5.2
Fourth Grade,Hanoi,3,28,37,Failed,Failed,1.3214285714285714,3.111111111111111
Sixth Grade,Hanoi,1,21,21,Failed,Failed,1.0,5.25
Fourth Grade,Hanoi,3,29,33,Failed,Failed,1.1379310344827587,3.2222222222222223
Fourth Grade,Hanoi,3,23,28,Failed,Failed,1.2173913043478262,2.5555555555555554
First Grade,Hanoi,2,8,14,Failed,Failed,1.75,1.6
Third Grade,Hanoi,2,13,46,Failed,Failed,3.5384615384615383,2.6
Fourth Grade,Hanoi,2,18,47,Failed,Failed,2.611111111111111,3.6
First Grade,Hanoi,1,21,32,Failed,Failed,1.5238095238095237,5.25
First Grade,Hanoi,1,22,45,Failed,Failed,2.0454545454545454,5.5
Fifth Grade,Hanoi,1,5,23,Failed,Failed,4.6,1.25
First Grade,Hanoi,2,21,21,Failed,Failed,1.0,4.2
First Grade,Hanoi,1,13,24,Failed,Failed,1.8461538461538463,3.25
Fourth Grade,Hanoi,3,16,36,Failed,Failed,2.25,1.7777777777777777
Fourth Grade,Hanoi,2,10,44,Failed,Failed,4.4,2.0
Third Grade,Hanoi,1,10,37,Failed,Failed,3.7,2.5
Sixth Grade,Hanoi,1,29,44,Failed,Failed,1.5172413793103448,7.25
Fourth Grade,Hanoi,2,12,50,Failed,Failed,4.166666666666667,2.4
Third Grade,Hanoi,1,23,39,Failed,Failed,1.6956521739130435,5.75
Second Grade,Hanoi,1,6,35,Failed,Failed,5.833333333333333,1.5
Sixth Grade,Hanoi,3,15,50,Failed,Failed,3.3333333333333335,1.6666666666666667
Fifth Grade,Hanoi,1,8,48,Failed,Failed,6.0,2.0
Second Grade,Hanoi,1,4,8,Passed,Passed,2.0,1.0
Second Grade,Hanoi,2,12,41,Failed,Failed,3.4166666666666665,2.4
First Grade,Hanoi,3,24,31,Failed,Failed,1.2916666666666667,2.6666666666666665
First Grade,Hanoi,1,6,47,Failed,Failed,7.833333333333333,1.5
Second Grade,Hanoi,1,26,32,Failed,Failed,1.2307692307692308,6.5
Second Grade,Hanoi,3,25,45,Failed,Failed,1.8,2.7777777777777777
Fourth Grade,Hanoi,1,10,22,Failed,Failed,2.2,2.5
Fifth Grade,Hanoi,2,11,35,Failed,Failed,3.1818181818181817,2.2
Third Grade,Hanoi,2,25,42,Failed,Failed,1.68,5.0
Fourth Grade,Hanoi,1,13,37,Failed,Failed,2.8461538461538463,3.25
Fifth Grade,Hanoi,2,13,32,Failed,Failed,2.4615384615384617,2.6
First Grade,Hanoi,2,21,36,Failed,Failed,1.7142857142857142,4.2
Second Grade,Hanoi,3,15,18,Failed,Failed,1.2,1.6666666666666667
Second Grade,Hanoi,1,7,30,Failed,Failed,4.285714285714286,1.75
Third Grade,Hanoi,2,17,48,Failed,Failed,2.823529411764706,3.4
First Grade,Hanoi,2,20,30,Failed,Failed,1.5,4.0
Third Grade,Hanoi,2,15,28,Failed,Failed,1.8666666666666667,3.0
Second Grade,Hanoi,1,29,37,Failed,Failed,1.2758620689655173,7.25
First Grade,Hanoi,1,5,48,Failed,Failed,9.6,1.25
Sixth Grade,Hanoi,2,7,11,Failed,Failed,1.5714285714285714,1.4
First Grade,Hanoi,3,20,25,Failed,Failed,1.25,2.2222222222222223
First Grade,Hanoi,3,25,42,Failed,Failed,1.68,2.7777777777777777
Fourth Grade,Hanoi,2,16,30,Failed,Failed,1.875,3.2
First Grade,Hanoi,1,16,43,Failed,Failed,2.6875,4.0
Sixth Grade,Hanoi,1,11,36,Failed,Failed,3.272727272727273,2.75
Third Grade,Hanoi,1,12,45,Failed,Failed,3.75,3.0
Fourth Grade,Hanoi,3,17,26,Failed,Failed,1.5294117647058822,1.8888888888888888
Sixth Grade,Hanoi,1,7,49,Failed,Failed,7.0,1.75
Fifth Grade,Hanoi,2,21,23,Failed,Failed,1.0952380952380953,4.2
Sixth Grade,Hanoi,2,8,21,Failed,Failed,2.625,1.6
First Grade,Hanoi,1,15,19,Failed,Failed,1.2666666666666666,3.75
Third Grade,Hanoi,3,24,28,Failed,Failed,1.1666666666666667,2.6666666666666665
Third Grade,Hanoi,1,18,31,Failed,Failed,1.7222222222222223,4.5
Second Grade,Hanoi,2,18,42,Failed,Failed,2.3333333333333335,3.6
Fourth Grade,Hanoi,2,27,47,Failed,Failed,1.7407407407407407,5.4
First Grade,Hanoi,2,17,31,Failed,Failed,1.8235294117647058,3.4
Fourth Grade,Hanoi,2,9,30,Failed,Failed,3.3333333333333335,1.8
Fifth Grade,Hanoi,2,22,43,Failed,Failed,1.9545454545454546,4.4
First Grade,Hanoi,1,6,39,Failed,Failed,6.5,1.5
Second Grade,Hanoi,2,12,19,Failed,Failed,1.5833333333333333,2.4
Fourth Grade,Hanoi,3,23,25,Failed,Failed,1.0869565217391304,2.5555555555555554
Fourth Grade,Hanoi,1,15,17,Failed,Failed,1.1333333333333333,3.75
Sixth Grade,Hanoi,1,22,30,Failed,Failed,1.3636363636363635,5.5
Third Grade,Hanoi,2,30,34,Failed,Failed,1.1333333333333333,6.0
Sixth Grade,Hanoi,2,16,17,Failed,Failed,1.0625,3.2
Second Grade,Hanoi,3,15,30,Failed,Failed,2.0,1.6666666666666667
Third Grade,Hanoi,3,15,17,Failed,Failed,1.1333333333333333,1.6666666666666667
Sixth Grade,Hanoi,3,27,39,Failed,Failed,1.4444444444444444,3.0
First Grade,Hanoi,2,12,39,Failed,Failed,3.25,2.4
Sixth Grade,Hanoi,1,3,36,Failed,Failed,12.0,0.75
Fifth Grade,Hanoi,1,7,50,Failed,Failed,7.142857142857143,1.75
Sixth Grade,Hanoi,1,18,29,Failed,Failed,1.6111111111111112,4.5
Third Grade,Hanoi,3,24,37,Failed,Failed,1.5416666666666667,2.6666666666666665
First Grade,Hanoi,1,22,32,Failed,Failed,1.4545454545454546,5.5
Fourth Grade,Hanoi,3,26,37,Failed,Failed,1.4230769230769231,2.888888888888889
Sixth Grade,Hanoi,1,9,50,Failed,Failed,5.555555555555555,2.25
Second Grade,Hanoi,2,19,50,Failed,Failed,2.6315789473684212,3.8
First Grade,Hanoi,3,23,36,Failed,Failed,1.565217391304348,2.5555555555555554
Sixth Grade,Hanoi,3,23,43,Failed,Failed,1.8695652173913044,2.5555555555555554
Fourth Grade,Hanoi,3,24,36,Failed,Failed,1.5,2.6666666666666665
Fifth Grade,Hanoi,1,21,37,Failed,Failed,1.7619047619047619,5.25
Fifth Grade,Hanoi,3,15,38,Failed,Failed,2.533333333333333,1.6666666666666667
Second Grade,Hanoi,3,18,45,Failed,Failed,2.5,2.0
First Grade,Hanoi,3,18,36,Failed,Failed,2.0,2.0
Fourth Grade,Hanoi,3,21,25,Failed,Failed,1.1904761904761905,2.3333333333333335
Third Grade,Hanoi,3,18,27,Failed,Failed,1.5,2.0
Second Grade,Hanoi,1,16,50,Failed,Failed,3.125,4.0
Fifth Grade,Hanoi,2,27,37,Failed,Failed,1.3703703703703705,5.4
Sixth Grade,Hanoi,1,12,16,Failed,Failed,1.3333333333333333,3.0
Sixth Grade,Hanoi,1,4,4,Passed,Passed,1.0,1.0
Fifth Grade,Hanoi,1,13,46,Failed,Failed,3.5384615384615383,3.25
Fourth Grade,Hanoi,3,17,31,Failed,Failed,1.8235294117647058,1.8888888888888888
Fourth Grade,Hanoi,1,14,16,Failed,Failed,1.1428571428571428,3.5
Fourth Grade,Hanoi,3,26,31,Failed,Failed,1.1923076923076923,2.888888888888889
Second Grade,Hanoi,3,26,31,Failed,Failed,1.1923076923076923,2.888888888888889
Fourth Grade,Hanoi,1,5,37,Failed,Failed,7.4,1.25
Fifth Grade,Hanoi,1,15,25,Failed,Failed,1.6666666666666667,3.75
Second Grade,Hanoi,2,25,39,Failed,Failed,1.56,5.0
Fourth Grade,Hanoi,2,15,20,Failed,Failed,1.3333333333333333,3.0
First Grade,Hanoi,2,15,50,Failed,Failed,3.3333333333333335,3.0
First Grade,Hanoi,2,20,38,Failed,Failed,1.9,4.0
Sixth Grade,Hanoi,2,14,28,Failed,Failed,2.0,2.8
Fourth Grade,Hanoi,3,29,46,Failed,Failed,1.5862068965517242,3.2222222222222223
Third Grade,Hanoi,1,11,41,Failed,Failed,3.727272727272727,2.75
First Grade,Hanoi,1,23,43,Failed,Failed,1.8695652173913044,5.75
Sixth Grade,Hanoi,3,17,22,Failed,Failed,1.2941176470588236,1.8888888888888888
Third Grade,Hanoi,2,12,13,Failed,Failed,1.0833333333333333,2.4
Fourth Grade,Hanoi,1,24,45,Failed,Failed,1.875,6.0
Sixth Grade,Hanoi,3,28,37,Failed,Failed,1.3214285714285714,3.111111111111111
Sixth Grade,Hanoi,3,23,28,Failed,Failed,1.2173913043478262,2.5555555555555554
Fourth Grade,Hanoi,2,12,20,Failed,Failed,1.6666666666666667,2.4
Third Grade,Hanoi,3,28,41,Failed,Failed,1.4642857142857142,3.111111111111111
Sixth Grade,Hanoi,3,19,37,Failed,Failed,1.9473684210526316,2.111111111111111
Fifth Grade,Hanoi,2,11,26,Failed,Failed,2.3636363636363638,2.2
First Grade,Hanoi,2,9,17,Failed,Failed,1.8888888888888888,1.8
Second Grade,Hanoi,1,22,28,Failed,Failed,1.2727272727272727,5.5
First Grade,Hanoi,3,15,43,Failed,Failed,2.8666666666666667,1.6666666666666667
Third Grade,Hanoi,1,20,42,Failed,Failed,2.1,5.0
Sixth Grade,Hanoi,1,25,37,Failed,Failed,1.48,6.25
Fourth Grade,Hanoi,2,18,21,Failed,Failed,1.1666666666666667,3.6
Fourth Grade,Hanoi,2,9,44,Failed,Failed,4.888888888888889,1.8
Sixth Grade,Hanoi,1,14,36,Failed,Failed,2.5714285714285716,3.5
First Grade,Hanoi,3,19,30,Failed,Failed,1.5789473684210527,2.111111111111111
First Grade,Hanoi,3,30,49,Failed,Failed,1.6333333333333333,3.3333333333333335
Second Grade,Hanoi,2,22,36,Failed,Failed,1.6363636363636365,4.4
First Grade,Hanoi,1,6,8,Failed,Failed,1.3333333333333333,1.5
Third Grade,Hanoi,3,25,27,Failed,Failed,1.08,2.7777777777777777
Fifth Grade,Hanoi,2,13,19,Failed,Failed,1.4615384615384615,2.6
Fourth Grade,Hanoi,1,29,46,Failed,Failed,1.5862068965517242,7.25
Third Grade,Hanoi,2,18,46,Failed,Failed,2.5555555555555554,3.6
Sixth Grade,Hanoi,1,16,32,Failed,Failed,2.0,4.0
Sixth Grade,Hanoi,1,11,25,Failed,Failed,2.272727272727273,2.75
First Grade,Hanoi,3,20,34,Failed,Failed,1.7,2.2222222222222223
Second Grade,Hanoi,1,12,12,Failed,Failed,1.0,3.0
First Grade,Hanoi,1,14,38,Failed,Failed,2.7142857142857144,3.5
Sixth Grade,Hanoi,1,16,49,Failed,Failed,3.0625,4.0
Sixth Grade,Hanoi,3,26,42,Failed,Failed,1.6153846153846154,2.888888888888889
Second Grade,Hanoi,1,16,38,Failed,Failed,2.375,4.0
Second Grade,Hanoi,1,27,32,Failed,Failed,1.1851851851851851,6.75
Sixth Grade,Hanoi,2,21,23,Failed,Failed,1.0952380952380953,4.2
Third Grade,Hanoi,1,21,23,Failed,Failed,1.0952380952380953,5.25
Fourth Grade,Hanoi,3,21,40,Failed,Failed,1.9047619047619047,2.3333333333333335
Third Grade,Hanoi,3,17,40,Failed,Failed,2.3529411764705883,1.8888888888888888
Fourth Grade,Hanoi,1,27,40,Failed,Failed,1.4814814814814814,6.75
Fourth Grade,Hanoi,1,4,21,Failed,Failed,5.25,1.0
Fourth Grade,Hanoi,1,20,32,Failed,Failed,1.6,5.0
Second Grade,Hanoi,2,12,28,Failed,Failed,2.3333333333333335,2.4
Fourth Grade,Hanoi,2,8,17,Failed,Failed,2.125,1.6
First Grade,Hanoi,1,21,39,Failed,Failed,1.8571428571428572,5.25
Second Grade,Hanoi,2,9,15,Failed,Failed,1.6666666666666667,1.8
Third Grade,Hanoi,1,15,18,Failed,Failed,1.2,3.75
Sixth Grade,Hanoi,1,13,23,Failed,Failed,1.7692307692307692,3.25
Third Grade,Hanoi,1,17,31,Failed,Failed,1.8235294117647058,4.25
Second Grade,Hanoi,2,16,19,Failed,Failed,1.1875,3.2
Second Grade,Hanoi,1,15,37,Failed,Failed,2.466666666666667,3.75
Fifth Grade,Hanoi,1,3,18,Failed,Failed,6.0,0.75
Third Grade,Hanoi,3,25,34,Failed,Failed,1.36,2.7777777777777777
Sixth Grade,Hanoi,3,28,48,Failed,Failed,1.7142857142857142,3.111111111111111
Third Grade,Hanoi,3,15,48,Failed,Failed,3.2,1.6666666666666667
Fifth Grade,Hanoi,1,15,44,Failed,Failed,2.933333333333333,3.75
Fourth Grade,Hanoi,1,12,27,Failed,Failed,2.25,3.0
Fourth Grade,Hanoi,2,19,43,Failed,Failed,2.263157894736842,3.8
Second Grade,Hanoi,3,23,29,Failed,Failed,1.2608695652173914,2.5555555555555554
Second Grade,Hanoi,1,26,27,Failed,Failed,1.0384615384615385,6.5
Second Grade,Hanoi,2,20,22,Failed,Failed,1.1,4.0
Fourth Grade,Hanoi,2,14,33,Failed,Failed,2.357142857142857,2.8
Second Grade,Hanoi,2,17,22,Failed,Failed,1.2941176470588236,3.4
First Grade,Hanoi,1,4,15,Passed,Failed,3.75,1.0
Sixth Grade,Hanoi,1,6,20,Failed,Failed,3.3333333333333335,1.5
Third Grade,Hanoi,1,7,38,Failed,Failed,5.428571428571429,1.75
Fourth Grade,Hanoi,2,20,20,Failed,Failed,1.0,4.0
Fourth Grade,Hanoi,2,19,20,Failed,Failed,1.0526315789473684,3.8
Third Grade,Hanoi,1,11,45,Failed,Failed,4.090909090909091,2.75
First Grade,Hanoi,1,7,32,Failed,Failed,4.571428571428571,1.75
Second Grade,Hanoi,3,16,19,Failed,Failed,1.1875,1.7777777777777777
Third Grade,Hanoi,1,6,21,Failed,Failed,3.5,1.5
Second Grade,Hanoi,3,30,37,Failed,Failed,1.2333333333333334,3.3333333333333335
Third Grade,Hanoi,3,17,39,Failed,Failed,2.2941176470588234,1.8888888888888888
Fourth Grade,Hanoi,1,5,18,Failed,Failed,3.6,1.25
Third Grade,Hanoi,2,13,13,Failed,Failed,1.0,2.6
Third Grade,Hanoi,1,24,40,Failed,Failed,1.6666666666666667,6.0
Fifth Grade,Hanoi,2,29,49,Failed,Failed,1.6896551724137931,5.8
First Grade,Hanoi,1,8,16,Failed,Failed,2.0,2.0
Second Grade,Hanoi,1,4,29,Failed,Failed,7.25,1.0
First Grade,Hanoi,2,27,31,Failed,Failed,1.1481481481481481,5.4
Second Grade,Hanoi,1,5,9,Failed,Failed,1.8,1.25
Third Grade,Hanoi,1,23,35,Failed,Failed,1.5217391304347827,5.75
Fourth Grade,Hanoi,1,9,31,Failed,Failed,3.4444444444444446,2.25
First Grade,Hanoi,3,26,27,Failed,Failed,1.0384615384615385,2.888888888888889
Second Grade,Hanoi,3,23,49,Failed,Failed,2.130434782608696,2.5555555555555554
First Grade,Hanoi,1,5,18,Failed,Failed,3.6,1.25
Second Grade,Hanoi,1,18,19,Failed,Failed,1.0555555555555556,4.5
Third Grade,Hanoi,1,27,42,Failed,Failed,1.5555555555555556,6.75
Second Grade,Hanoi,1,3,16,Failed,Failed,5.333333333333333,0.75
Sixth Grade,Hanoi,1,22,50,Failed,Failed,2.272727272727273,5.5
Second Grade,Hanoi,2,13,23,Failed,Failed,1.7692307692307692,2.6
Fifth Grade,Hanoi,2,16,34,Failed,Failed,2.125,3.2
Fourth Grade,Hanoi,1,6,11,Failed,Failed,1.8333333333333333,1.5
Fourth Grade,Hanoi,3,16,19,Failed,Failed,1.1875,1.7777777777777777
Fourth Grade,Hanoi,1,11,29,Failed,Failed,2.6363636363636362,2.75
Second Grade,Hanoi,1,14,47,Failed,Failed,3.357142857142857,3.5
First Grade,Hanoi,2,15,44,Failed,Failed,2.933333333333333,3.0
Second Grade,Hanoi,3,24,28,Failed,Failed,1.1666666666666667,2.6666666666666665
Sixth Grade,Hanoi,1,5,21,Failed,Failed,4.2,1.25
Second Grade,Hanoi,2,14,30,Failed,Failed,2.142857142857143,2.8
Fourth Grade,Hanoi,2,30,41,Failed,Failed,1.3666666666666667,6.0
Fifth Grade,Hanoi,1,4,23,Failed,Failed,5.75,1.0
Sixth Grade,Hanoi,1,8,12,Failed,Failed,1.5,2.0
Fifth Grade,Hanoi,3,16,35,Failed,Failed,2.1875,1.7777777777777777
Second Grade,Hanoi,1,23,41,Failed,Failed,1.7826086956521738,5.75
First Grade,Hanoi,1,8,9,Failed,Failed,1.125,2.0
Second Grade,Hanoi,3,20,44,Failed,Failed,2.2,2.2222222222222223
Fourth Grade,Hanoi,1,27,29,Failed,Failed,1.0740740740740742,6.75
Fifth Grade,Hanoi,1,18,36,Failed,Failed,2.0,4.5
Third Grade,Hanoi,1,23,42,Failed,Failed,1.826086956521739,5.75
Fifth Grade,Hanoi,2,10,46,Failed,Failed,4.6,2.0
Second Grade,Hanoi,2,18,21,Failed,Failed,1.1666666666666667,3.6
Second Grade,Hanoi,1,25,34,Failed,Failed,1.36,6.25
Fifth Grade,Hanoi,3,17,28,Failed,Failed,1.6470588235294117,1.8888888888888888
Sixth Grade,Hanoi,1,23,34,Failed,Failed,1.4782608695652173,5.75
Second Grade,Hanoi,1,11,23,Failed,Failed,2.090909090909091,2.75
Fifth Grade,Hanoi,2,27,39,Failed,Failed,1.4444444444444444,5.4
Fourth Grade,Hanoi,1,24,46,Failed,Failed,1.9166666666666667,6.0
First Grade,Hanoi,1,30,36,Failed,Failed,1.2,7.5
Third Grade,Hanoi,2,7,31,Failed,Failed,4.428571428571429,1.4
Sixth Grade,Hanoi,1,17,49,Failed,Failed,2.8823529411764706,4.25
Second Grade,Hanoi,1,6,17,Failed,Failed,2.8333333333333335,1.5
Second Grade,Hanoi,3,26,43,Failed,Failed,1.6538461538461537,2.888888888888889
Sixth Grade,Hanoi,3,28,49,Failed,Failed,1.75,3.111111111111111
Fourth Grade,Hanoi,1,5,19,Failed,Failed,3.8,1.25
Fifth Grade,Hanoi,2,29,45,Failed,Failed,1.5517241379310345,5.8
Second Grade,Hanoi,2,15,39,Failed,Failed,2.6,3.0
Sixth Grade,Hanoi,3,28,46,Failed,Failed,1.6428571428571428,3.111111111111111
Third Grade,Hanoi,2,10,27,Failed,Failed,2.7,2.0
Sixth Grade,Hanoi,2,21,33,Failed,Failed,1.5714285714285714,4.2
First Grade,Hanoi,2,19,31,Failed,Failed,1.631578947368421,3.8
Third Grade,Hanoi,1,7,33,Failed,Failed,4.714285714285714,1.75
Third Grade,Hanoi,1,14,45,Failed,Failed,3.2142857142857144,3.5
Fifth Grade,Hanoi,2,16,23,Failed,Failed,1.4375,3.2
Sixth Grade,Hanoi,1,22,35,Failed,Failed,1.5909090909090908,5.5
First Grade,Hanoi,1,9,47,Failed,Failed,5.222222222222222,2.25
Sixth Grade,Hanoi,2,9,38,Failed,Failed,4.222222222222222,1.8
Third Grade,Hanoi,1,29,36,Failed,Failed,1.2413793103448276,7.25
Second Grade,Hanoi,1,30,42,Failed,Failed,1.4,7.5
Fifth Grade,Hanoi,2,17,32,Failed,Failed,1.8823529411764706,3.4
Fifth Grade,Hanoi,3,23,34,Failed,Failed,1.4782608695652173,2.5555555555555554
Sixth Grade,Hanoi,2,8,21,Failed,Failed,2.625,1.6
Third Grade,Hanoi,2,27,38,Failed,Failed,1.4074074074074074,5.4
Second Grade,Hanoi,3,26,40,Failed,Failed,1.5384615384615385,2.888888888888889
Third Grade,Hanoi,1,4,40,Failed,Failed,10.0,1.0
Second Grade,Hanoi,2,16,34,Failed,Failed,2.125,3.2
Fourth Grade,Hanoi,1,22,42,Failed,Failed,1.9090909090909092,5.5
First Grade,Hanoi,2,13,13,Failed,Failed,1.0,2.6
Second Grade,Hanoi,3,25,32,Failed,Failed,1.28,2.7777777777777777
Fourth Grade,Hanoi,2,10,48,Failed,Failed,4.8,2.0
First Grade,Hanoi,1,4,33,Failed,Failed,8.25,1.0
Fourth Grade,Hanoi,1,14,18,Failed,Failed,1.2857142857142858,3.5
First Grade,Hanoi,1,24,29,Failed,Failed,1.2083333333333333,6.0
Second Grade,Hanoi,1,20,48,Failed,Failed,2.4,5.0
Sixth Grade,Hanoi,1,19,32,Failed,Failed,1.6842105263157894,4.75
Third Grade,Hanoi,2,21,32,Failed,Failed,1.5238095238095237,4.2
Sixth Grade,Hanoi,1,10,42,Failed,Failed,4.2,2.5
First Grade,Hanoi,2,20,31,Failed,Failed,1.55,4.0
Fourth Grade,Hanoi,3,19,31,Failed,Failed,1.631578947368421,2.111111111111111
Third Grade,Hanoi,3,22,26,Failed,Failed,1.1818181818181819,2.4444444444444446
Second Grade,Hanoi,1,6,6,Failed,Failed,1.0,1.5
Second Grade,Hanoi,1,10,17,Failed,Failed,1.7,2.5
Fifth Grade,Hanoi,1,9,37,Failed,Failed,4.111111111111111,2.25
Sixth Grade,Hanoi,3,18,20,Failed,Failed,1.1111111111111112,2.0
Second Grade,Hanoi,3,18,40,Failed,Failed,2.2222222222222223,2.0
Second Grade,Hanoi,2,13,23,Failed,Failed,1.7692307692307692,2.6
Fourth Grade,Hanoi,3,27,36,Failed,Failed,1.3333333333333333,3.0
Sixth Grade,Hanoi,1,9,27,Failed,Failed,3.0,2.25
Fourth Grade,Hanoi,2,21,44,Failed,Failed,2.0952380952380953,4.2
Fourth Grade,Hanoi,1,13,17,Failed,Failed,1.3076923076923077,3.25
Fifth Grade,Hanoi,3,25,35,Failed,Failed,1.4,2.7777777777777777
Fifth Grade,Hanoi,2,9,41,Failed,Failed,4.555555555555555,1.8
First Grade,Hanoi,2,27,34,Failed,Failed,1.2592592592592593,5.4
Sixth Grade,Hanoi,2,16,40,Failed,Failed,2.5,3.2
Fifth Grade,Hanoi,2,14,44,Failed,Failed,3.142857142857143,2.8
First Grade,Hanoi,2,8,17,Failed,Failed,2.125,1.6
Second Grade,Hanoi,3,29,50,Failed,Failed,1.7241379310344827,3.2222222222222223
Third Grade,Hanoi,1,29,30,Failed,Failed,1.0344827586206897,7.25
Fourth Grade,Hanoi,1,12,33,Failed,Failed,2.75,3.0
Sixth Grade,Hanoi,1,7,15,Failed,Failed,2.142857142857143,1.75
First Grade,Hanoi,1,9,31,Failed,Failed,3.4444444444444446,2.25
Sixth Grade,Hanoi,1,15,20,Failed,Failed,1.3333333333333333,3.75
Sixth Grade,Hanoi,2,26,31,Failed,Failed,1.1923076923076923,5.2
Third Grade,Hanoi,1,21,50,Failed,Failed,2.380952380952381,5.25
Second Grade,Hanoi,2,9,13,Failed,Failed,1.4444444444444444,1.8
Second Grade,Hanoi,2,29,46,Failed,Failed,1.5862068965517242,5.8
Third Grade,Hanoi,3,22,25,Failed,Failed,1.1363636363636365,2.4444444444444446
Fourth Grade,Hanoi,3,23,36,Failed,Failed,1.565217391304348,2.5555555555555554
Sixth Grade,Hanoi,2,14,19,Failed,Failed,1.3571428571428572,2.8
Sixth Grade,Hanoi,2,12,37,Failed,Failed,3.0833333333333335,2.4
Sixth Grade,Hanoi,1,15,20,Failed,Failed,1.3333333333333333,3.75
First Grade,Hanoi,1,15,22,Failed,Failed,1.4666666666666666,3.75
Third Grade,Hanoi,2,10,35,Failed,Failed,3.5,2.0
Fourth Grade,Hanoi,2,11,25,Failed,Failed,2.272727272727273,2.2
Sixth Grade,Hanoi,3,30,43,Failed,Failed,1.4333333333333333,3.3333333333333335
Second Grade,Hanoi,3,19,40,Failed,Failed,2.1052631578947367,2.111111111111111
Third Grade,Hanoi,1,29,43,Failed,Failed,1.4827586206896552,7.25
Fourth Grade,Hanoi,3,17,47,Failed,Failed,2.764705882352941,1.8888888888888888
Fifth Grade,Hanoi,1,30,34,Failed,Failed,1.1333333333333333,7.5
